  image_id,X,Y,W,H
000001.png,0.50461044,0.0456558985,0.6058767,0.083543345
000004.png,0.49710437,0.8591352475,0.7064171,0.110940695
000005.png,0.48830023,0.56784314,0.6050882,0.1308676
000006.png,0.49271973999999996,0.091210653,0.6530326,0.09579848
000009.png,0.49289145,0.080128585,0.66603214,0.12750874
000010.png,0.49297095,0.076353093,0.6832688,0.12635241
000013.png,0.49749580000000004,0.8314657700000001,0.7032755,0.13169014
000014.png,0.48513562,0.6749274150000001,0.63047934,0.11757469
000015.png,0.4905988,0.8029586099999999,0.6580175,0.12803292
000018.png,0.494259675,0.82389921,0.68369323,0.12680268
000019.png,0.49873331,0.204107635,0.6510907,0.16055197
000023.png,0.48272439,0.709892875,0.5547105,0.09778023
000028.png,0.50058104,0.13077592300000002,0.6952644,0.15072504
000029.png,0.49928785000000003,0.091682402,0.6907041,0.12849098
000031.png,0.48522370000000004,0.73958743,0.6776984,0.26448536
000032.png,0.48727896000000004,0.735886545,0.6473466,0.10273969
000033.png,0.49166234,0.62730069,0.6166246,0.12792718
000036.png,0.50008151,0.0929342575,0.64821154,0.15788403
000037.png,0.50098469,0.30036277499999997,0.6178901,0.16455017
000042.png,0.503077165,0.84174641,0.65309155,0.11955762
000045.png,0.5042208,0.79855936,0.66605806,0.14049292
000046.png,0.50480969,0.14867260999999998,0.6689397,0.12561953
000049.png,0.50744092,0.8143155575000001,0.6860491,0.118804455
000050.png,0.49665536,0.553187435,0.65187156,0.22124863
000051.png,0.49913019999999997,0.075580203,0.6777996,0.12976502
000055.png,0.491392185,0.06957256,0.66789967,0.12478496
000058.png,0.5026741299999999,0.813856465,0.70982146,0.26973653
000059.png,0.489165355,0.48853712,0.66114503,0.1449348
000060.png,0.49658225,0.83394688,0.69724786,0.1414653
000063.png,0.49374205,0.846229535,0.7089802,0.13986087
000064.png,0.48805613999999997,0.07477149999999999,0.6018524,0.09389953
000065.png,0.49576422500000006,0.074804003,0.69375485,0.10591073
000067.png,0.49919512,0.839861055,0.7102562,0.12743211
000068.png,0.48305409,0.513491685,0.5255203,0.10921645
000069.png,0.48980520000000005,0.8165601149999999,0.6517266,0.13934243
000072.png,0.49057572000000005,0.903206845,0.7022631,0.19358629
000073.png,0.5047404200000001,0.07480153049999999,0.6693084,0.095310465
000076.png,0.50788358,0.8184957500000001,0.67528856,0.15356362
000077.png,0.49958715,0.516973798,0.6579212,0.117435336
000078.png,0.49106818,0.8508543350000001,0.71454656,0.14153159
000081.png,0.49990944000000004,0.8058166649999999,0.6898608,0.10589433
000082.png,0.50757976,0.052986707,0.6593301,0.082263894
000085.png,0.49074698,0.552419545,0.6613863,0.15004349
000086.png,0.5092893700000001,0.512463095,0.65097046,0.14343119
000087.png,0.501538645,0.099878379,0.65550953,0.15777816
000090.png,0.50553292,0.1309235275,0.67168224,0.112882495
000091.png,0.497506365,0.068652347,0.65844303,0.09474206
000092.png,0.484460335,0.867527305,0.66234773,0.13073611
000094.png,0.510103175,0.8217719750000001,0.64948773,0.09833145
000095.png,0.49041313999999997,0.677518875,0.6242979,0.18975675
000096.png,0.513590365,0.114077183,0.71074027,0.11468674
000101.png,0.47601004999999996,0.165706315,0.3102693,0.18965
000103.png,0.48343881,0.898196965,0.71527976,0.20360613
000104.png,0.49624909500000003,0.5339082500000001,0.66175145,0.13600254
000121.png,0.5109164,0.084964225,0.6369403,0.09942743
000122.png,0.48421941,0.49828725,0.5995657,0.11486474
000123.png,0.47554448000000005,0.77245766,0.5743534,0.11957204
000148.png,0.463722627,0.57713677,0.8087932,0.3650634
000149.png,0.48730249000000003,0.685839675,0.6890731,0.13693595
000150.png,0.50072759,0.089319056,0.6994053,0.13501526
000153.png,0.50368217,0.88792705,0.6917713,0.19701278
000154.png,0.6393399049999999,0.2006715,0.30875745,0.13625044
000158.png,0.5063746899999999,0.7989046249999999,0.7001232,0.19813025
000163.png,0.50902851,0.52139753,0.6825085,0.1954112
000164.png,0.49086247000000005,0.8052630500000001,0.6751354,0.1289568
000168.png,0.48174492999999996,0.0548087171,0.6412273,0.104005806
000172.png,0.48907263,0.59219253,0.6781055,0.14272046
000173.png,0.49715781000000003,0.071576151,0.6692369,0.12094008
000176.png,0.489014465,0.810521485,0.70990413,0.13409889
000177.png,0.49062804,0.0578200866,0.6906758,0.11038849
000178.png,0.48504519,0.533411555,0.70438766,0.14586571
000180.png,0.51692359,0.1343244,0.66016954,0.12014496
000181.png,0.49608309,0.49834056,0.6878516,0.16820726
000185.png,0.50652502,0.85440944,0.7286317,0.24010348
000186.png,0.49868153000000004,0.0662532057,0.6473695,0.12295809
000187.png,0.4829736,0.06267555,0.6867695,0.09522891
000189.png,0.49191552,0.844351545,0.6770887,0.10659289
000190.png,0.47490069,0.595550175,0.6339007,0.12591445
000191.png,0.4892879,0.8317499125,0.598083,0.118456125
000194.png,0.49955958,0.830582825,0.68913674,0.13055825
000195.png,0.49568487000000006,0.060068236,0.6610084,0.10270879
000199.png,0.49210576500000003,0.50788031,0.62478423,0.13428536
000200.png,0.48478584,0.789836885,0.68498474,0.17398965
000203.png,0.511493165,0.9216140679999999,0.65678823,0.082494736
000204.png,0.49692602500000005,0.0431098446,0.63939875,0.07923816
000205.png,0.48096797999999996,0.646984938,0.62407076,0.099986196
000208.png,0.49472965,0.601500515,0.6566173,0.21612847
000209.png,0.488251075,0.10470844,0.66813815,0.15419504
000212.png,0.49074428999999997,0.1172871365,0.6192552,0.107023045
000213.png,0.49641917,0.159823065,0.663367,0.14586335
000217.png,0.49665531500000004,0.6399782924999999,0.63713425,0.120841265
000218.png,0.497733505,0.08846477999999999,0.60677403,0.10293841
000222.png,0.49615657,0.156771425,0.68365884,0.13232443
000223.png,0.51333978,0.0739858715,0.6099378,0.101891965
000225.png,0.48700626,0.141578855,0.67191404,0.10656467
000226.png,0.49476686,0.68950106,0.6587278,0.12098372
000227.png,0.49808034999999995,0.131800281,0.666716,0.11339629
000230.png,0.48507297,0.870768035,0.6851066,0.09182727
000231.png,0.49776990499999996,0.159784934,0.69324493,0.16979098
000235.png,0.4910472,0.700264835,0.6039908,0.13910127
000236.png,0.490601575,0.839008995,0.70351577,0.15333939
000239.png,0.49142405,0.828954335,0.7137327,0.12472999
000240.png,0.50495367,0.253945655,0.6928879,0.20107125
000241.png,0.49209757000000004,0.105771685,0.6779462,0.16716132
000244.png,0.5115155499999999,0.83355773,0.7099563,0.16407776
000245.png,0.49203726999999997,0.829586165,0.69605154,0.14618993
000248.png,0.49118768999999995,0.0901876,0.6704682,0.11974321
000249.png,0.48846886,0.449988995,0.6320513,0.15603787
000250.png,0.506472275,0.79689144,0.67202425,0.28177428
000253.png,0.51827749,0.878347935,0.6928836,0.20897853
000254.png,0.48978776,0.09788036,0.6693778,0.1519359
000258.png,0.49072486,0.455055565,0.6375713,0.15059239
000262.png,0.48484469,0.091022901,0.6936183,0.15017125
000263.png,0.508167845,0.14439373500000002,0.69338447,0.16377187
000266.png,0.51406923,0.83876435,0.6865963,0.1031183
000267.png,0.49759171,0.772314745,0.6630611,0.16010189
000268.png,0.494099435,0.111690875,0.70349133,0.10742977
000271.png,0.49088387,0.84123915,0.6834217,0.12985682
000272.png,0.48827787,0.37609086,0.6488373,0.13785464
000273.png,0.48782268500000003,0.101504275,0.69420123,0.14862761
000276.png,0.50913224,0.8541724700000001,0.70257396,0.14100182
000277.png,0.49654008000000005,0.10980589,0.64278084,0.16043693
000280.png,0.50450624,0.8335059300000001,0.6933248,0.1383524
000281.png,0.49351091,0.101401243,0.6777524,0.111592546
000282.png,0.490868765,0.084558893,0.67742497,0.1081523
000285.png,0.51226465,0.809137705,0.69400406,0.23858953
000286.png,0.49583436000000003,0.060852364,0.6623162,0.103398636
000289.png,0.48028347,0.752162745,0.6914441,0.15642369
000290.png,0.482895805,0.640831825,0.65911335,0.12911177
000291.png,0.475514255,0.66288555,0.74538356,0.3262384
000294.png,0.481119375,0.081581973,0.71113575,0.125442
000295.png,0.49104978499999996,0.231761525,0.63774997,0.15339205
000296.png,0.48050713,0.08171487399999999,0.6972699,0.09663226
000298.png,0.49278089999999997,0.84450835,0.7240584,0.14413524
000299.png,0.49667264,0.77239889,0.6606878,0.2046963
000300.png,0.49241743000000004,0.101012372,0.64433306,0.16071415
000304.png,0.488406655,0.31628042,0.64664185,0.15611464
000305.png,0.48606799999999994,0.100396851,0.69276756,0.15172233
000308.png,0.49741515,0.8413244200000001,0.6580609,0.14958084
000309.png,0.50195022,0.839004905,0.6847102,0.11019921
000313.png,0.49353495999999997,0.448474225,0.6713057,0.16374111
000322.png,0.48643077,0.559204345,0.6666852,0.16840065
000323.png,0.49559461000000005,0.088150226,0.6815132,0.10196294
000326.png,0.48948126999999997,0.089189412,0.6447868,0.109101444
000327.png,0.502661775,0.089703551,0.65419525,0.13920514
